Test_Variables,Site,Zone,Mean,Median
NN,BP,Ambient,0.19625,0.185
NN,BP,Diffuse,1.164,0.875
NN,BP,Transition,2.259,1.62
NN,W,Ambient,0.15666666666666668,0.15
NN,W,Diffuse,0.18875,0.185
NN,W,Offshore,0.0925,0.095
NN,W,Transition,0.24625,0.22
Phosphate,BP,Ambient,0.1825,0.175
Phosphate,BP,Diffuse,0.1755,0.17
Phosphate,BP,Transition,0.203,0.19
Phosphate,W,Ambient,0.116,0.11
Phosphate,W,Diffuse,0.1075,0.11
Phosphate,W,Offshore,0.155,0.15500000000000003
Phosphate,W,Transition,0.105,0.11
Salinity,BP,Ambient,34.64005254125,34.642920585
Salinity,BP,Diffuse,34.251969645,34.26517308
Salinity,BP,Transition,34.016790013,34.02696896
Salinity,W,Ambient,34.60276527,34.60382005
Salinity,W,Diffuse,34.529600995625,34.532622495
Salinity,W,Offshore,34.607445850000005,34.611950635
Salinity,W,Transition,34.43439624,34.453294355
Silicate,BP,Ambient,1.84375,1.775
Silicate,BP,Diffuse,11.1465,10.83
Silicate,BP,Transition,16.784,16.54
Silicate,W,Ambient,1.784,1.76
Silicate,W,Diffuse,3.44875,3.38
Silicate,W,Offshore,1.6775000000000002,1.5750000000000002
Silicate,W,Transition,5.615,5.185
TA,BP,Ambient,2219.924608,2249.698551
TA,BP,Diffuse,2264.9236748499998,2270.4637885
TA,BP,Transition,2254.6477537,2250.3635865
TA,W,Ambient,2264.3880368,2259.753937
TA,W,Diffuse,2281.328387,2283.8113144999998
TA,W,Offshore,2272.082355,2274.7417835
TA,W,Transition,2293.186804625,2292.0273425
Temp_in,BP,Ambient,24.79860292,24.73436101
Temp_in,BP,Diffuse,24.899049422,24.861478220000002
Temp_in,BP,Transition,25.066925771,24.916634245
Temp_in,W,Ambient,24.877610994,25.24803637
Temp_in,W,Diffuse,24.608258405,24.632624645
Temp_in,W,Offshore,24.36671606,24.36671606
Temp_in,W,Transition,24.530432805,24.523258645
pH,BP,Ambient,8.088587056375,8.074004665
pH,BP,Diffuse,8.1145064682,8.126684958999999
pH,BP,Transition,8.1005331254,8.089794946
pH,W,Ambient,8.022933333333333,8.053
pH,W,Diffuse,8.00025,8.011
pH,W,Offshore,8.00475,8.0125
pH,W,Transition,8.000875,8.012
percent_sgd,BP,Ambient,0.232210327375,0.223551637
percent_sgd,BP,Diffuse,1.40384130975,1.3639798485
percent_sgd,BP,Transition,2.1138539042,2.0831234255
percent_sgd,W,Ambient,0.23049095606666667,0.227390181
percent_sgd,W,Diffuse,0.445574935375,0.436692506
percent_sgd,W,Offshore,0.216731266,0.203488372
percent_sgd,W,Transition,0.7254521965,0.669896641
